"filename", "language", "Java", "comment", "blank", "total"
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/config/AuthHandshakeInterceptor.java", "Java", 28, 12, 9, 49
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/config/WebSocketConfig.java", "Java", 1, 0, 0, 1
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/ChatHandler.java", "Java", -296, -97, -58, -451
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/HandlerRegistry.java", "Java", 22, 15, 7, 44
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/ActionHandler.java", "Java", 8, 12, 7, 27
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/BaseActionHandler.java", "Java", 28, 15, 7, 50
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/BaseAdminActionHandler.java", "Java", 20, 8, 4, 32
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/CreateGroupHandler.java", "Java", 38, 0, 9, 47
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/GetOnlineHandler.java", "Java", 31, 0, 8, 39
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/HeartbeatHandler.java", "Java", 15, 7, 6, 28
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/HistoryHandler.java", "Java", 38, 5, 9, 52
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/KickUserHandler.java", "Java", 35, 2, 9, 46
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/LoginHandler.java", "Java", 60, 14, 15, 89
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/MessageReactHandler.java", "Java", 53, 4, 13, 70
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/MessageReadHandler.java", "Java", 45, 2, 11, 58
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/MuteUserHandler.java", "Java", 36, 3, 10, 49
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/RecallMessageHandler.java", "Java", 40, 2, 11, 53
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/handler/action/SendMessageHandler.java", "Java", 72, 11, 14, 97
"/Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/service/impl/MessageServiceImpl.java", "Java", 1, 0, 1, 2
"Total", "-", 275, 15, 92, 382